416,爛漫,らんまん,吟醸純米,生もと,43,1,純米吟醸酒,,秋田県,16,
417,爛漫,らんまん,,美酒探求７０１,43,1,,,秋田県,16,
418,爛漫,らんまん,本醸造,辛口,43,1,本醸造酒,,秋田県,16,
419,爛漫,らんまん,純米,まなぐ風,43,1,純米酒,,秋田県,16,
420,爛漫,らんまん,純米,ふなおろし,43,1,純米酒,,秋田県,16,
421,爛漫,らんまん,大吟醸,牡丹,43,1,大吟醸酒,,秋田県,16,
195,一生青春,いっしょうせいしゅん,大吟醸,斗瓶取り雫,45,1,大吟醸酒,,福島県,17,
196,一生青春,いっしょうせいしゅん,大吟醸,,45,1,大吟醸酒,,福島県,17,
197,一生青春,いっしょうせいしゅん,吟醸,,45,1,吟醸酒,,福島県,17,
198,天明,てんめい,純米,無濾過本生（槽しぼり）,45,1,純米酒,,福島県,18,
199,天明,てんめい,純米,瓶囲い火入れ,45,1,純米酒,,福島県,18,
200,天明,てんめい,純米吟醸,本生,45,1,純米吟醸酒,,福島県,18,
201,天明,てんめい,純米吟醸,瓶囲い（火入れ）1年熟成,45,1,純米吟醸酒,,福島県,18,
202,天明,てんめい,純米,会津産亀の尾瓶囲い（火入れ）,45,1,純米酒,,福島県,18,
203,天明,てんめい,純米,会津産亀の尾瓶囲い純米生,45,1,純米酒,,福島県,18,
204,天明,てんめい,大吟醸,瓶囲い火入れ,45,1,大吟醸酒,,福島県,18,
205,天明,てんめい,,中取りシリーズ中取り壱号,45,1,,,福島県,18,
206,天明,てんめい,,中取りシリーズ中取り弐ニ号,45,1,,,福島県,18,
207,天明,てんめい,,中取りシリーズ中取り参号,45,1,,,福島県,18,
208,天明,てんめい,,中取りシリーズ中取り四号,45,1,,,福島県,18,
209,天明,てんめい,,中取りシリーズ中取り伍号,45,1,,,福島県,18,
210,天明,てんめい,純米大吟醸,瓶囲い火入れ,45,1,純米大吟醸酒,,福島県,18,
211,天明,てんめい,大吟醸,美山錦瓶囲い火入れ,45,1,大吟醸酒,,福島県,18,
212,天明,てんめい,大吟醸,五百万石瓶囲い火入れ,45,1,大吟醸酒,,福島県,18,
213,天明,てんめい,純米大吟醸,亀の尾,45,1,純米大吟醸酒,,福島県,18,
214,天明,てんめい,純吟,（秋あがり）美山錦生,45,1,純米吟醸酒,,福島県,18,
215,天明,てんめい,純米,さらさら,45,1,純米酒,,福島県,18,
216,天明,てんめい,純米,「オンリー米みずほ」旨辛,45,1,純米酒,,福島県,18,
217,天明,てんめい,純米吟醸,「オンリー米美郷錦」,45,1,純米吟醸酒,,福島県,18,
218,天明,てんめい,,秘蔵「掌玉」しょうぎょく,45,1,,,福島県,18,
191,曙,あけぼの,,会津もち米四段仕込,45,1,,,福島県,19,
192,曙,あけぼの,本醸造,会津もち米四段仕込,45,1,本醸造酒,,福島県,19,
193,曙,あけぼの,純米,生貯蔵酒,45,1,純米酒,,福島県,19,
194,曙,あけぼの,,淡雪にごり酒,45,1,,,福島県,19,
737,酔舞,よいまい,大吟醸,特撰,47,1,大吟醸酒,,宮城県,20,
738,酔舞,よいまい,大吟醸,,47,1,大吟醸酒,,宮城県,20,
739,酔舞,よいまい,吟醸,ゴールド,47,1,吟醸酒,,宮城県,20,
740,酔舞,よいまい,純米吟醸,シルバー,47,1,純米吟醸酒,,宮城県,20,
741,酔舞,よいまい,本醸造,ゴールド,47,1,本醸造酒,,宮城県,20,
742,酔舞,よいまい,,生貯蔵酒,47,1,,,宮城県,20,
446,阿桜,あざくら,純米,寒仕込原酒,48,1,純米酒,,秋田県,21,
447,阿桜,あざくら,純米,寒仕込,48,1,純米酒,,秋田県,21,
3916,阿櫻,あざくら,純米大吟醸,無濾過原酒火入れ,48,1,純米大吟醸酒,,秋田県,22,
3917,阿櫻,あざくら,大吟醸,無濾過原酒火入れ,48,1,大吟醸酒,,秋田県,22,
3918,阿櫻,あざくら,純米吟醸,無濾過生原酒秋田酵母NO.12,48,1,純米吟醸酒,,秋田県,22,
3919,阿櫻,あざくら,特別純米,中取り無濾過生原酒,48,1,特別純米酒,,秋田県,22,
3920,阿櫻,あざくら,特別純米,超旨辛口無濾過生原酒,48,1,特別純米酒,,秋田県,22,
3921,阿櫻,あざくら,特別純米,無濾過生原酒,48,1,特別純米酒,,秋田県,22,
3922,阿櫻,あざくら,特別純米,無濾過生原酒美郷錦,48,1,特別純米酒,,秋田県,22,
3923,阿櫻,あざくら,特別純米,無濾過生原酒吟の精,48,1,特別純米酒,,秋田県,22,
3924,阿櫻,あざくら,,生詰め原酒亀の尾,48,1,,,秋田県,22,
3602,旭菊,あさひきく,純米吟醸,山田錦,57,1,純米吟醸酒,,福岡県,23,
3603,旭菊,あさひきく,大吟醸,手造り,57,1,大吟醸酒,,福岡県,23,
3604,旭菊,あさひきく,純米大吟醸,,57,1,純米大吟醸酒,,福岡県,23,
3605,旭菊,あさひきく,大吟醸,雫,57,1,大吟醸酒,,福岡県,23,
3606,旭菊,あさひきく,純米吟醸,,57,1,純米吟醸酒,,福岡県,23,
3607,旭菊,あさひきく,吟醸酒,,57,1,吟醸酒,,福岡県,23,
3608,旭菊,あさひきく,本醸造,,57,1,本醸造酒,,福岡県,23,
4662,朝日,あさひ,,,58,2,黒糖,30,鹿児島県,24,
5118,げってん,げってん,,,59,2,米,40,大分県,25,
5119,耶馬美人,やまびじん,,,59,2,米,20,大分県,26,
5120,耶馬美人,やまびじん,,,59,2,米,25,大分県,26,
3945,獺祭,だっさい,,発泡にごり酒磨き二割三分,60,1,,,山口県,27,
3946,獺祭,だっさい,,磨き二割三分遠心分離おりがらみ,60,1,,,山口県,27,
3947,獺祭,だっさい,,温め酒50,60,1,,,山口県,27,
3948,獺祭,だっさい,,純米大吟醸寒造早槽48,60,1,,,山口県,27,
3949,獺祭,だっさい,,発泡にごり酒50,60,1,,,山口県,27,
3950,獺祭,だっさい,,発泡にごり酒磨き三割九分,60,1,,,山口県,27,
3951,獺祭,だっさい,,純米大吟醸50,60,1,,,山口県,27,
3952,獺祭,だっさい,,純米大吟醸45,60,1,,,山口県,27,
3953,獺祭,だっさい,,磨き三割九分,60,1,,,山口県,27,
3954,獺祭,だっさい,,磨き二割三分,60,1,,,山口県,27,
3955,獺祭,だっさい,,50遠心分離,60,1,,,山口県,27,
3956,獺祭,だっさい,,磨き三割九分遠心分離,60,1,,,山口県,27,
3957,獺祭,だっさい,,磨き二割三分遠心分離,60,1,,,山口県,27,
1568,久保田,くぼた,,生原酒,63,1,,,新潟県,28,
1569,久保田,くぼた,,萬寿,63,1,,,新潟県,28,
1570,久保田,くぼた,,翠寿,63,1,,,新潟県,28,
1571,久保田,くぼた,,碧寿,63,1,,,新潟県,28,
1572,久保田,くぼた,,紅寿,63,1,,,新潟県,28,
1573,久保田,くぼた,,千寿,63,1,,,新潟県,28,
1574,久保田,くぼた,,百寿,63,1,,,新潟県,28,
1562,朝日山,あさひやま,,萬寿盃,63,1,,,新潟県,29,
1563,朝日山,あさひやま,純米酒,,63,1,純米酒,,新潟県,29,
1564,朝日山,あさひやま,,千寿盃,63,1,,,新潟県,29,
1565,朝日山,あさひやま,,百寿盃,63,1,,,新潟県,29,
1566,朝日山,あさひやま,,生酒,63,1,,,新潟県,29,
1567,朝日山,あさひやま,,益々繁盛,63,1,,,新潟県,29,
1582,越乃かぎろひ,こしおさむかぎろひ,,萬寿,63,1,,,新潟県,30,
1583,越乃かぎろひ,こしおさむかぎろひ,,千寿,63,1,,,新潟県,30,
1584,越乃かぎろひ,こしおさむかぎろひ,,百寿,63,1,,,新潟県,30,
1575,越州,えっしゅう,,桜日和,63,1,,,新潟県,31,
1576,越州,えっしゅう,,禄乃,63,1,,,新潟県,31,
1577,越州,えっしゅう,,悟乃,63,1,,,新潟県,31,
1578,越州,えっしゅう,,参乃,63,1,,,新潟県,31,
1579,越州,えっしゅう,,弐乃,63,1,,,新潟県,31,
1580,越州,えっしゅう,,壱乃,63,1,,,新潟県,31,
1581,越州,えっしゅう,,にごり酒,63,1,,,新潟県,31,
3083,十旭日,じゅうじあさひ,大吟醸,,64,1,大吟醸酒,,島根県,32,
3084,十旭日,じゅうじあさひ,純米大吟醸,,64,1,純米大吟醸酒,,島根県,32,
3085,十旭日,じゅうじあさひ,純米酒,,64,1,純米酒,,島根県,32,
3086,十旭日,じゅうじあさひ,吟醸,生,64,1,吟醸酒,,島根県,32,
3087,十旭日,じゅうじあさひ,純米,生,64,1,純米酒,,島根県,32,
3088,十旭日,じゅうじあさひ,純米,生原酒,64,1,純米酒,,島根県,32,
3089,十旭日,じゅうじあさひ,大吟醸,酒文,64,1,大吟醸酒,,島根県,32,
3090,十旭日,じゅうじあさひ,純米吟醸,出雲だより,64,1,純米吟醸酒,,島根県,32,
4023,うみそら,うみそら,,長期熟成,67,2,泡盛,25,東京都,33,
4024,島思い,しまおもい,,,67,2,泡盛,25,東京都,34,
286,あさ開,あさびらき,,,69,1,,,岩手県,35,
287,あさ開,あさびらき,純米大吟醸,原酒,69,1,純米大吟醸酒,,岩手県,35,
288,あさ開,あさびらき,,流霞,69,1,,,岩手県,35,
289,あさ開,あさびらき,吟醸酒,蔵元秘蔵,69,1,吟醸酒,,岩手県,35,
290,あさ開,あさびらき,,寒仕込特別純米,69,1,,,岩手県,35,
291,あさ開,あさびらき,,ひとめぼれ,69,1,,,岩手県,35,
292,あさ開,あさびらき,,風物語涼,69,1,,,岩手県,35,
293,あさ開,あさびらき,,風物語風,69,1,,,岩手県,35,
294,あさ開,あさびらき,,風物語夢,69,1,,,岩手県,35,
295,あさ開,あさびらき,,ＳＡＶＡ,69,1,,,岩手県,35,
3289,三吉正宗,みよしまさむね,大吟醸酒,特別常興,72,1,大吟醸酒,,広島県,36,
3290,三吉正宗,みよしまさむね,大吟醸,天爵,72,1,大吟醸酒,,広島県,36,
3291,三吉正宗,みよしまさむね,純米吟醸,直右衛門,72,1,純米吟醸酒,,広島県,36,
3292,三吉正宗,みよしまさむね,純米,直右衛門,72,1,純米酒,,広島県,36,
1193,東薫,あずまかおる,大吟醸,叶,74,1,大吟醸酒,,千葉県,37,
1194,東薫,あずまかおる,,夢と幻の物語,74,1,,,千葉県,37,
1195,東薫,あずまかおる,吟醸,二人静,74,1,吟醸酒,,千葉県,37,
1196,東薫,あずまかおる,,卯兵衛の酒,74,1,,,千葉県,37,
682,えぼし山千本桜,えぼしざんせんぼんさくら,,,75,1,,,山形県,38,
681,しぼりたて槽口,しぼりたてそうぐち,,,75,1,,,山形県,39,
680,夕鶴の里,ゆうつるのさと,,,75,1,,,山形県,40,
683,暴れ獅子,あばれしし,,,75,1,,,山形県,41,
677,東の麓,ひがしのふもと,,,75,1,,,山形県,42,
684,生涼,なまりょう,,,75,1,,,山形県,43,
4766,麻生富士子,あそうふじこ,,,77,2,麦,25,大分県,44,
4767,麻生富士子N17,あそうふじこN17,,,77,2,麦,30,大分県,45,
2409,初日,しょにち,純米大吟醸,,80,1,純米大吟醸酒,,三重県,46,
2410,初日,しょにち,大吟醸,生酒,80,1,大吟醸酒,,三重県,46,
2411,初日,しょにち,大吟醸,純金入,80,1,大吟醸酒,,三重県,46,
2412,初日,しょにち,,やからたれ,80,1,,,三重県,46,
2413,初日,しょにち,純米酒,,80,1,純米酒,,三重県,46,
